                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.82944,                 1.3223,                 1.2375,                0.92786,                0.38725,                0.42505,                0.32831,                 1.7145,                 2.3179,                 1.5146,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                0.73586,                0.93879,                 1.2357,                0.92786,                0.38725,                0.42505,                0.32831,                 1.7145,                 2.3179,                 1.5146,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                0.65043,                0.77536,                 1.1852,                0.92831,                0.38668,                0.42525,                0.32834,                 1.7403,                 2.3672,                 1.5337,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 1.1473,                  1.238,                 1.3992,                0.92831,                0.38668,                0.42525,                0.32834,                 1.7403,                 2.3672,                 1.5337,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.79248,                0.93443,                 1.2761,                0.92831,                0.38668,                0.42525,                0.32834,                 1.7403,                 2.3672,                 1.5337,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.83804,                  1.098,                 1.3339,                0.92662,                0.38684,                0.42533,                0.32871,                 1.7301,                 2.3384,                 1.5239,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 0.6239,                0.96163,                 1.0843,                0.92662,                0.38684,                0.42533,                0.32871,                 1.7301,                 2.3384,                 1.5239,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.76263,                 1.0023,                 1.2495,                0.92662,                0.38684,                0.42533,                0.32871,                 1.7301,                 2.3384,                 1.5239,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                0.58848,                0.82013,                 1.1017,                 0.9257,                0.38668,                0.42631,                0.31232,                  1.731,                 2.3344,                 1.5205,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                0.76075,                 0.9744,                 1.1094,                 0.9257,                0.38668,                0.42631,                0.31232,                  1.731,                 2.3344,                 1.5205,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.73402,                0.81481,                 1.1155,                 0.9257,                0.38668,                0.42631,                0.31232,                  1.731,                 2.3344,                 1.5205,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                0.94735,                 1.9657,                 1.3628,                0.91916,                0.38777,                0.42841,                0.30501,                 1.7311,                 2.2797,                 1.5194,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                0.85132,                0.92556,                 1.2599,                0.91916,                0.38777,                0.42841,                0.30501,                 1.7311,                 2.2797,                 1.5194,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                0.62444,                0.81329,                 1.0412,                0.91916,                0.38777,                0.42841,                0.30501,                 1.7311,                 2.2797,                 1.5194,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                0.84887,                 1.0695,                 1.3117,                0.91542,                  0.388,                0.42892,                0.30471,                  1.747,                 2.3742,                 1.5428,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                0.87732,                 1.3573,                 1.3177,                0.91542,                  0.388,                0.42892,                0.30471,                  1.747,                 2.3742,                 1.5428,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                0.59336,                0.76296,                 1.1121,                0.91542,                  0.388,                0.42892,                0.30471,                  1.747,                 2.3742,                 1.5428,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                 0.6613,                0.92491,                 1.1701,                0.91459,                0.38905,                0.42916,                 0.3049,                 1.7604,                 2.3706,                 1.5427,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                0.64001,                0.74847,                 1.1418,                0.91459,                0.38905,                0.42916,                 0.3049,                 1.7604,                 2.3706,                 1.5427,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                 1.0797,                 1.9365,                 1.5768,                0.91459,                0.38905,                0.42916,                 0.3049,                 1.7604,                 2.3706,                 1.5427,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                0.91446,                0.95256,                 1.1941,                0.91235,                0.38986,                0.43133,                0.30785,                 1.7396,                 2.3942,                 1.5202,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                0.94964,                 1.1579,                 1.3098,                0.91235,                0.38986,                0.43133,                0.30785,                 1.7396,                 2.3942,                 1.5202,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                0.66418,                0.72148,                 1.0821,                0.91235,                0.38986,                0.43133,                0.30785,                 1.7396,                 2.3942,                 1.5202,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                0.65549,                 1.0426,                 1.1297,                 0.9116,                0.39104,                0.43085,                0.30468,                 1.7392,                 2.3903,                 1.5221,              2.178e-05,              2.178e-05,              2.178e-05
